name,rarity,faceConvertedManaCost,colors,originalType,printings,uuid
"Kraum, Ludevic's Opus",rare,,"R, U",Legendary Creature — Zombie Horror,"C16, CMR, PRM, PZ2",aef00324-1c16-5901-819d-8eab21f450b0
"Kydele, Chosen of Kruphix",mythic,,"G, U",Legendary Creature — Human Wizard,"C16, CMR, PRM, PZ2",2b0e3c34-8f2a-5835-b0f7-63f8e6dcc2d5
Kynaios and Tiro of Meletis,mythic,,"G, R, U, W",Legendary Creature — Human Soldier,"C16, OC16, PZ2",1104ddf6-ead3-5866-8493-19a3ff84eb19
"Ludevic, Necro-Alchemist",mythic,,"R, U",Legendary Creature — Human Wizard,"C16, CMR, PRM, PZ2",860619ec-1872-5a14-9130-de9cc306a243
"Ravos, Soultender",mythic,,"B, W",Legendary Creature — Human Cleric,"C16, CMR, PRM, PZ2",ac9bce91-6ecf-5a56-afdd-4084dcd5e254
"Reyhan, Last of the Abzan",rare,,"B, G",Legendary Creature — Human Warrior,"C16, CM2, CMR, PRM, PZ2",7c8f2829-23dd-5607-9816-20332a45adfd
Saskia the Unyielding,mythic,,"B, G, R, W",Legendary Creature — Human Soldier,"C16, OC16, PZ2, SLD",5ca12306-e9d0-5c3f-a75e-12f0e24093f9
Sidar Kondo of Jamuraa,mythic,,"G, W",Legendary Creature — Human Knight,"C16, CMR, MKC, PRM, PZ2",e5174a04-ad87-53d0-840d-c41e03f568e9
"Tana, the Bloodsower",mythic,,"G, R",Legendary Creature — Elf Druid,"C16, CMR, PRM, PZ2",74afc4ac-7d33-5621-b0db-13fbebe9be5b
"Thrasios, Triton Hero",rare,,"G, U",Legendary Creature — Merfolk Wizard,"C16, CMR, PRM, PZ2, SPG",9be8542c-bc96-529c-bc67-3c3e91672dae
Tymna the Weaver,rare,,"B, W",Legendary Creature — Human Cleric,"C16, CMR, PRM, PZ2",a3acd769-ba2b-5717-92b7-e798eecfe037
Vial Smasher the Fierce,mythic,,"B, R",Legendary Creature — Goblin Berserker,"C16, CMR, PRM, PZ2, SLD",dcbdfba3-924b-5eca-a630-e24ef859f346
"Yidris, Maelstrom Wielder",mythic,,"B, G, R, U",Legendary Creature — Ogre Wizard,"C16, OC16, PZ2, SLD",bad1a1a7-acc7-5065-95f7-ab306170a982
"Kazuul, Tyrant of the Cliffs",rare,,R,Legendary Creature — Ogre Warrior,"C16, CLB, CMM, MKC, NCC, SCD, WWK",a1131bd3-039d-5737-b5a5-5bb20eb99c49
"Edric, Spymaster of Trest",rare,,"G, U",Legendary Creature — Elf Rogue,"C16, CM1, CMD, CNS, OTC, PCMD, PZ1, VMA",2f5c2f25-6cef-5cc9-8669-184aeae04434
"Jor Kadeen, the Prevailer",rare,,"R, W",Legendary Creature — Human Warrior,"C16, C21, NPH, ONC",2043f8bc-5136-5641-b8cf-6726c9ecea93
Nath of the Gilt-Leaf,rare,,"B, G",Legendary Creature — Elf Warrior,"C16, LRW",d39e4ac0-385c-5bfb-92fd-8f7e2dc83426
"Selvala, Explorer Returned",rare,,"G, W",Legendary Creature — Elf Scout,"C16, CNS, DMC, MKC, NCC, VMA",88aaefdf-d7d7-5743-b6ae-feccc85d81b0
Vorel of the Hull Clade,rare,,"G, U",Legendary Creature — Human Merfolk,"C16, CM2, DGM, GK2, LCC, NCC",06d0ef0b-75fd-56bd-955d-89a79f4a0d7a
Zedruu the Greathearted,mythic,,"R, U, W",Legendary Creature — Minotaur Monk,"C16, CMD, CMR, OCMD, PRM, PZ1",2349cff1-4218-55c6-bff0-819bc1551048
"Kess, Dissident Mage",mythic,,"B, R, U",Legendary Creature — Human Wizard,"C17, MH1, NCC, PZ2, SLD",1386dab0-ebde-5a89-aa33-c12db32dff4d
"O-Kagachi, Vengeful Kami",mythic,,"B, G, R, U, W",Legendary Creature — Dragon Spirit,"C17, DMC, PZ2",4fd6596a-454b-5988-9286-d2103cf78464
"Taigam, Ojutai Master",rare,,"U, W",Legendary Creature — Human Monk,"C17, MUL, PZ2",1de74fc8-834b-5514-9662-79612b29b355
"Anowon, the Ruin Sage",rare,,B,Legendary Creature — Vampire Shaman,"C17, VOC, WWK",030b4fc3-701e-5a3b-8e3b-dc79773528f5
Jedit Ojanen of Efrava,rare,,G,Legendary Creature — Cat Warrior,"C17, PLC, PLST, PSAL",33e8d8a1-ec5a-5489-90f2-04087c55fb46
Bladewing the Risen,rare,,"B, R",Legendary Creature — Zombie Dragon,"C17, CMA, CMD, DRB, IMA, PANA, PLST, SCG",a322ecfd-c131-5c76-acee-dcdedd72fbc8
"Crosis, the Purger",rare,,"B, R, U",Legendary Creature — Dragon,"C17, INV, PD3, PLST",3dbd5612-9365-5081-a957-1ee4662626ad
"Nin, the Pain Artist",rare,,"R, U",Legendary Creature — Vedalken Wizard,"C17, CMD, J18, PCMD, PLST",3b0e1ac6-84de-5f4f-8f0d-23648d88ab4b
Vela the Night-Clad,mythic,,"B, U",Legendary Creature — Human Wizard,"C17, CM1, PC2, PCA, PLST, PZ1, SCD",00c2dfe1-f70a-54ae-a0f1-284089775dbe
"Varchild, Betrayer of Kjeldor",rare,,R,Legendary Creature — Human Knight,"C18, PZ2",08a00cee-bb8f-59f1-b34f-744be4a49219
"Gyrus, Waker of Corpses",mythic,,"B, G, R",Legendary Creature — Hydra,"C18, PZ2",8d01c246-0190-5bc1-81a2-0ee6b9dcc3c9
"Tawnos, Urza's Apprentice",mythic,,"R, U",Legendary Creature — Human Artificer,"C18, PLST, PZ2",6742cb03-35d3-5380-92a9-eab20e829b80
"Thantis, the Warweaver",mythic,,"B, G, R",Legendary Creature — Spider,"C18, PZ2",5834c2b5-6d8c-544a-aaf4-fcb8a1735a05
Tuvasa the Sunlit,mythic,,"G, U, W",Legendary Creature — Merfolk Shaman,"C18, PZ2",6f11acd2-ce99-5c84-a848-073b5443226c
"Xantcha, Sleeper Agent",rare,,"B, R",Legendary Creature — Minion,"C18, CMM, PLG21, PLST, PZ2, SLD",18bf246b-a209-5634-8874-ca2f2230d629
"Yennett, Cryptic Sovereign",mythic,,"B, U, W",Legendary Creature — Sphinx,"C18, CMM, PZ2",9fc45f31-533a-582d-8b57-6d532a44acf7
"Yuriko, the Tiger's Shadow",rare,,"B, U",Legendary Creature — Human Ninja,"C18, CMM, CMR, J19, PL22, PLG21, PLST, PRM, PZ2",4648982e-c7ae-5614-b4ff-7101f8092c20
"Budoka Gardener // Dokai, Weaver of Life",rare,,G,Legendary Creature — Human Monk,"C18, CHK, PLST",5b9682b4-a2e6-586c-b479-6508264d992e
Daxos of Meletis,rare,,"U, W",Legendary Creature — Human Soldier,"C18, NCC, THS",c3a38351-9202-5212-aa78-0ce43a65886d
"K'rrik, Son of Yawgmoth",rare,,B,Legendary Creature — Horror Minion,"C19, MH3, PJ21, PLST, SLD",aaac4748-5875-501e-956c-7096ca43e53e
"Chainer, Nightmare Adept",mythic,,"B, R",Legendary Creature — Human Minion,"C19, J21, MH2",dd912207-45c9-5697-885d-05434ee5e93c
"Marisi, Breaker of the Coil",mythic,,"G, R, W",Legendary Creature — Cat Warrior,"C19, PLST",0c4761f2-ab0d-5c75-9d8c-edc82de4e387
"Zetalpa, Primal Dawn",rare,,W,Legendary Creature — Elder Dinosaur,"C19, C20, C21, CMM, DMC, GN2, LCC, PLST, PRIX, RIX",219ca6b3-84c4-5125-9c6c-1e662102e402
"Trynn, Champion of Freedom",mythic,,W,Legendary Creature — Human Soldier,C20,4478fcff-7161-5780-930f-ebc396fe0d1c
"Haldan, Avid Arcanist",mythic,,U,Legendary Creature — Human Wizard,C20,5a63ad25-efeb-55f5-a1b5-999e2909dda4
"Nikara, Lair Scavenger",mythic,,B,Legendary Creature — Human Cleric,C20,ca349d4d-57be-5383-a448-1bc9e66986b8
"Brallin, Skyshark Rider",mythic,,R,Legendary Creature — Human Shaman,"C20, PLST",ae1c3713-9b58-505c-b8ef-e7173d740b55
"Cazur, Ruthless Stalker",mythic,,G,Legendary Creature — Human Warrior,"C20, OTC",b8d63eb2-b2be-505e-ab3c-2abfe5a135e9
"Akim, the Soaring Wind",mythic,,"R, U, W",Legendary Creature — Bird Dinosaur,C20,78106715-859f-52ab-a302-5583d30a4666
"Gavi, Nest Warden",mythic,,"R, U, W",Legendary Creature — Human Shaman,"C20, OC20",7fb74df8-2267-5c1c-92f0-14228843b8b3
Jirina Kudro,mythic,,"B, R, W",Legendary Creature — Human Soldier,"C20, OC20",220acb3f-5647-5fd5-9790-f248063a11db
"Kalamax, the Stormsire",mythic,,"G, R, U",Legendary Creature — Elemental Dinosaur,"C20, OC20, PLST, SPG",b1eb5696-84a9-5308-95ac-a27311ac02f9
"Kathril, Aspect Warper",mythic,,"B, G, W",Legendary Creature — Nightmare Insect,"C20, OC20",5b5d1ee3-86ab-5507-bd72-b67397a83053
"Kelsien, the Plague",mythic,,"B, R, W",Legendary Creature — Human Assassin,C20,afebfa0f-8fe7-5459-967e-61660c651917
"Otrimi, the Ever-Playful",mythic,,"B, G, U",Legendary Creature — Nightmare Beast,"C20, OC20",ecc89788-483d-526d-b74f-72379cf16e41
"Pako, Arcane Retriever",mythic,,"G, R",Legendary Creature — Elemental Hound,C20,1039432d-3b62-568e-b4f8-a2890ff85c72
"Shabraz, the Skyshark",mythic,,"U, W",Legendary Creature — Shark Bird,"C20, PLST",ea662c91-94b1-55eb-859d-be8e4d9d3abd
"Silvar, Devourer of the Free",mythic,,"B, R",Legendary Creature — Cat Nightmare,C20,6f058dfc-7ee2-59d7-81be-451f004ee9a4
"Tayam, Luminous Enigma",mythic,,"B, G, W",Legendary Creature — Nightmare Beast,C20,5b480925-a514-5a86-81d5-13c1c32dcb9a
"Ukkima, Stalking Shadow",mythic,,"B, U",Legendary Creature — Whale Wolf,"C20, OTC",de04073a-d432-5a9e-85e2-fde7bf93091a
"Xyris, the Writhing Storm",mythic,,"G, R, U",Legendary Creature — Snake Leviathan,"C20, DMC",6ca79ffb-f135-57e0-97d9-4a56956f1249
"Yannik, Scavenging Sentinel",mythic,,"G, W",Legendary Creature — Hyena Beast,C20,cc7ce750-70e4-5329-868c-7ad95163ccfa
"Zaxara, the Exemplary",mythic,,"B, G, U",Legendary Creature — Nightmare Hydra,"C20, DMC, SLD",446d2b3e-42e6-5be6-bb6d-9321e54b68c9
"Odric, Lunarch Marshal",rare,,W,Legendary Creature — Human Soldier,"C20, CMR, DMC, PLST, PSOI, SIR, SOI",d08e1382-0324-5c7f-b498-bca1870fdc8c
"Odric, Master Tactician",rare,,W,Legendary Creature — Human Soldier,"C20, CMM, E01, M13, MIC, PLST",6766a6d6-8a19-5681-a90a-9a6ba6e3bf6c
"Adriana, Captain of the Guard",rare,,"R, W",Legendary Creature — Human Knight,"C20, CN2, DMC, ONC, PZ2",7bca7506-0efe-57c6-a90d-2e8a0d126282
"Garna, the Bloodflame",uncommon,,"B, R",Legendary Creature — Human Warrior,"C20, DMC, DOM, PDOM, UMA",c83d2b78-8011-5ecc-bf96-c2af563413e0
"Isperia, Supreme Judge",mythic,,"U, W",Legendary Creature — Sphinx,"C20, GK2, RTR, SCD",12ea86cd-a50a-5f60-92f0-fab475560854
"Rashmi, Eternities Crafter",mythic,,"G, U",Legendary Creature — Elf Druid,"C20, KLD, KLR, PKLD",9fd762d2-16d7-5490-a450-66034ea70dbf
"Wort, the Raidmother",rare,,"G, R",Legendary Creature — Goblin Shaman,"C20, MM3, SHM",db7a3251-9875-59d2-a401-d75864aa3f45
"Wydwen, the Biting Gale",rare,,"B, U",Legendary Creature — Faerie Wizard,"C20, LRW",43f8b2d0-3d17-52f8-babe-b99ed8cceb81
"Breena, the Demagogue",mythic,,"B, W",Legendary Creature — Bird Warlock,"C21, OC21, OTC, PRM",327c1372-43ec-5a52-b3d8-0daf66c72a57
"Felisa, Fang of Silverquill",mythic,,"B, W",Legendary Creature — Vampire Wizard,"C21, CLB, PRM",d383d0f7-51ac-5ec3-b360-2c87b50da137
"Veyran, Voice of Duality",mythic,,"R, U",Legendary Creature — Efreet Wizard,"C21, OTC, PRM",917ba0fd-17b7-5639-a38e-95a3a0a6fec2
"Zaffai, Thunder Conductor",mythic,,"R, U",Legendary Creature — Human Shaman,"C21, OC21, PRM",15994519-a988-5c2b-80e3-575739bb911d
"Gyome, Master Chef",mythic,,"B, G",Legendary Creature — Troll Warlock,"C21, PRM",50d05433-1746-5661-9a28-32e9e8a61159
"Willowdusk, Essence Seer",mythic,,"B, G",Legendary Creature — Dryad Druid,"C21, OC21, PRM",38e954e1-7689-5d56-8899-ba073308b4b4
"Osgir, the Reconstructor",mythic,,"R, W",Legendary Creature — Giant Artificer,"C21, OC21, PRM",c60514bc-44d5-5611-9a2e-3980d71b87f6
"Adrix and Nev, Twincasters",mythic,,"G, U",Legendary Creature — Merfolk Wizard,"C21, MKC, OC21, PRM, SLD",40ee2cb8-0631-5246-b939-e6987bad756e
"Esix, Fractal Bloom",mythic,,"G, U",Legendary Creature — Fractal,"C21, MKC, PRM",4b454db3-0ed3-59c9-a83d-65d613d704c7
"Nils, Discipline Enforcer",rare,,W,Legendary Creature — Human Cleric,"C21, PRM",a0a74fe8-2dc9-5179-a0a4-45d4a94c049b
"Deekah, Fractal Theorist",rare,,U,Legendary Creature — Human Wizard,"C21, PRM",e01176cb-a376-5112-9544-418c98336fa6
"Octavia, Living Thesis",rare,,U,Legendary Creature — Elemental Octopus,"C21, OTC, PRM",cdd1d813-eace-5abc-9bb6-9f30a8cba4a9
"Tivash, Gloom Summoner",rare,,B,Legendary Creature — Human Warlock,"C21, J22, PRM",d139e077-20ae-5f46-a89c-04d2829761d1
"Laelia, the Blade Reforged",rare,,R,Legendary Creature — Spirit Warrior,"C21, CLB, HA6, MH3, PRM",b5c7e9c1-7f2e-55d8-9bab-48b730787097
"Rionya, Fire Dancer",rare,,R,Legendary Creature — Human Wizard,"C21, PRM",cdbbc8bf-7f32-5f64-adfc-36384b901eaf
"Ruxa, Patient Professor",rare,,G,Legendary Creature — Bear Druid,"C21, PRM",dafe24da-04ca-5c72-8cd7-4678aad0642e
"Yedora, Grave Gardener",rare,,G,Legendary Creature — Treefolk Druid,"C21, CMM, MKC, MUL, PRM",07d2b662-2ff3-589a-a6d3-811df5207ddc
"Naru Meha, Master Wizard",mythic,,U,Legendary Creature — Human Wizard,"C21, DOM, PDOM",82d82f35-707d-5ac0-b3d8-451ca5916cd6
Pia Nalaar,rare,,R,Legendary Creature — Human Artificer,"C21, KLD, KLR, PKLD",37ae58bf-a95a-58a9-aedf-1ef6a132410d
"Arashi, the Sky Asunder",rare,,G,Legendary Creature — Spirit,"C21, SOK",0ce27de2-7618-5082-b324-42dd8bcc0450
Sapling of Colfenor,rare,,"B, G",Legendary Creature — Treefolk Shaman,"C21, EVE",7bdb2773-7ac3-58b2-8007-81f1e581c679
Eight-and-a-Half-Tails,rare,,W,Legendary Creature - Fox Cleric,"CHK, CLB, EMA",971bfb78-f275-51df-b1cd-f887e51a68ac
"Isamaru, Hound of Konda",rare,,W,Legendary Creature - Hound,"CHK, J22, JMP, PLST",c81ea548-0fc6-5cec-b041-8782a80701d8
"Nagao, Bound by Honor",uncommon,,W,Legendary Creature - Human Samurai,"CHK, PLST",e571ccd1-f93d-5a01-a0ed-90adb6d2177e
Sensei Golden-Tail,rare,,W,Legendary Creature - Fox Samurai,"CHK, PLST",72de7408-0aed-5169-aa17-d47d1078ebb4
Jushi Apprentice // Tomoya the Revealer,rare,,U,Legendary Creature Human Wizard,"CHK, PLST",cac83f97-0eb4-5ddb-84dc-622734b13134
"Keiga, the Tide Star",rare,,U,Legendary Creature - Dragon Spirit,"CHK, CLB, IMA, MMA",3ec11245-5aa9-531e-b60c-389f4e83f13c
Meloku the Clouded Mirror,rare,,U,Legendary Creature - Moonfolk Wizard,"CHK, CMR, MMA",eee3a30f-be71-5158-bdee-cd8013fe779c
The Unspeakable,rare,,U,Legendary Creature - Spirit,"CHK, DDS, PLST, PZ2",39eceb36-9351-5192-9347-d6714c1e7009
"Horobi, Death's Wail",rare,,B,Legendary Creature - Spirit,"CHK, MUL",688620fc-1f8d-5478-a278-3b03aa712251
Marrow-Gnawer,rare,,B,Legendary Creature - Rat Rogue,"CHK, J21, PHUK, PLST, PSAL, SLD",9227808c-c937-5440-bd55-d2e7cff77bae
Nezumi Graverobber // Nighteyes the Desecrator,uncommon,,B,Legendary Creature Rat Wizard,"CHK, CM2, CMD, PHUK, PLST, PSAL, TD0",c81c2f3d-eebe-59ea-b7e8-c3f91908eadd
Nezumi Shortfang // Stabwhisker the Odious,rare,,B,Legendary Creature Rat Shaman,"CHK, PLST",996c7cc2-9201-5f7c-ba67-f62158d6bcb8
"Seizan, Perverter of Truth",rare,,B,Legendary Creature - Demon Spirit,"CHK, J22, MUL",9ae1b13e-bcee-56b4-99d9-097fef1c9ac6
Brothers Yamazaki,uncommon,,R,Legendary Creature - Human Samurai,"CHK, PLST",a7d7f03a-d876-52aa-97f6-44d371226533
Initiate of Blood // Goka the Unjust,uncommon,,R,Legendary Creature Ogre Shaman,"CHK, PLST",491c88ad-5ae6-510b-870c-db5e3c9d913d
"Kiki-Jiki, Mirror Breaker",rare,,R,Legendary Creature - Goblin Shaman,"CHK, IMA, J22, MM2, MMA, PLST, TSR, V11",0e5c49fe-778f-5d24-86c5-6c11477d4dbe
"Jugan, the Rising Star",rare,,G,Legendary Creature - Dragon Spirit,"CHK, IMA, MMA, PLST",6ca0435f-cfd4-5ca9-9cba-08d55ef5e534
Myojin of Life's Web,rare,,G,Legendary Creature - Spirit,"CHK, PLST",c28294fb-a052-521e-a295-4d565732a9d6
Seshiro the Anointed,rare,,G,Legendary Creature - Snake Monk,"CHK, PLST, SLD",e047d7bd-cddd-5c7f-bfd5-b207466037b8
"Sosuke, Son of Seshiro",uncommon,,G,Legendary Creature - Snake Warrior,"CHK, PLST",52d71abf-a55d-5f47-b321-0be28d8681ab
"Abdel Adrian, Gorion's Ward",uncommon,,W,Legendary Creature — Human Warrior,CLB,ae83f439-f05e-5d15-849a-808b8c8c8098
"Ellyn Harbreeze, Busybody",uncommon,,W,Legendary Creature — Human Peasant,CLB,5f80576b-43e4-5e5b-8e45-8974e6b2d3bf
"Lae'zel, Vlaakith's Champion",rare,,W,Legendary Creature — Gith Warrior,"CLB, PCLB",b531ba67-f3ba-505b-a89e-39b630c3e322
"Lulu, Loyal Hollyphant",uncommon,,W,Legendary Creature — Elephant Angel,CLB,74e43e52-e062-5a89-9a2e-e1d27900e873
Rasaad yn Bashir,uncommon,,W,Legendary Creature — Human Monk,CLB,51f0a76f-ce93-5a67-83a2-bf90c4499d64
"Alora, Merry Thief",uncommon,,U,Legendary Creature — Halfling Rogue,CLB,e3a75e01-cf18-5619-a245-86e8624bc220
"Gale, Waterdeep Prodigy",rare,,U,Legendary Creature — Human Wizard,"CLB, PCLB",9c23fad6-2b6d-5702-8b06-6521fa3f5a75
"Imoen, Mystic Trickster",uncommon,,U,Legendary Creature — Human Rogue Wizard,CLB,f403aa76-d362-5f6b-9828-8ccaaca112ea
"Renari, Merchant of Marvels",uncommon,,U,Legendary Creature — Dragon Artificer,CLB,571809e7-c3c8-5999-b964-6d95b4b21f88
"Vhal, Candlekeep Researcher",uncommon,,U,Legendary Creature — Human Wizard,CLB,5ce88808-7f7c-5caa-8ae6-dbcfec2a5bf6
"Volo, Itinerant Scholar",mythic,,U,Legendary Creature — Human Wizard,"CLB, PCLB",be98a8ed-15dc-59c5-b5ef-6519a62c6b47
"Safana, Calimport Cutthroat",uncommon,,B,Legendary Creature — Human Rogue,CLB,ec5e569a-d99a-536c-aab1-2aa47054c40c
"Sarevok, Deathbringer",uncommon,,B,Legendary Creature — Human Knight,CLB,52f095f3-a87d-5155-a4a5-6d2743c4be32
"Shadowheart, Dark Justiciar",rare,,B,Legendary Creature — Human Elf Cleric,"CLB, PCLB",c955cdd5-9b39-5af7-b823-6055b093dacd
"Sivriss, Nightmare Speaker",uncommon,,B,Legendary Creature — Snake Cleric Warlock,CLB,da4c39ba-5d0d-5be2-a6be-404d7a0bd859
"Viconia, Drow Apostate",uncommon,,B,Legendary Creature — Elf Cleric,CLB,9e611995-bb58-52ea-9cda-ad47c4a58e46
Amber Gristle O'Maul,uncommon,,R,Legendary Creature — Dwarf Cleric,CLB,d8c8cb32-02e1-500f-a2a9-55a59e2ba40b
"Ganax, Astral Hunter",uncommon,,R,Legendary Creature — Dragon,CLB,ee6a1494-cca9-5775-915d-be1e920ced90
"Gut, True Soul Zealot",uncommon,,R,Legendary Creature — Goblin Shaman,CLB,063508e0-d066-54cf-bed2-683a6d214bdd
"Karlach, Fury of Avernus",mythic,,R,Legendary Creature — Tiefling Barbarian,"CLB, PCLB",beb54d94-c11e-5da2-a0c7-194fdb7d83a5
"Livaan, Cultist of Tiamat",uncommon,,R,Legendary Creature — Dragon Shaman,CLB,a45cf3ab-8c12-568c-9b06-e9c2d4eb1673
"Wyll, Blade of Frontiers",rare,,R,Legendary Creature — Human Warlock,"CLB, PCLB",0760b7dd-4c1e-5294-91e9-58ce0d9ef66f
"Erinis, Gloom Stalker",uncommon,,G,Legendary Creature — Halfling Ranger,CLB,81629b7c-4a6f-556f-91b4-54986a456628
"Halsin, Emerald Archdruid",uncommon,,G,Legendary Creature — Elf Druid,CLB,cfeadd68-f55d-5024-b407-0480cc6a8020
"Jaheira, Friend of the Forest",rare,,G,Legendary Creature — Human Elf Druid,"CLB, PCLB",3a780e9f-15db-5a8f-88ea-bbeba2b38ee8
Skanos Dragonheart,uncommon,,G,Legendary Creature — Dragon Ranger,CLB,0b3482ad-c206-5b61-9314-315d9013227e
"Wilson, Refined Grizzly",uncommon,,G,Legendary Creature — Bear Warrior,CLB,81a24226-1309-54cf-9b4b-2b5a905a0b64
Alaundo the Seer,rare,,"G, U",Legendary Creature — Human Shaman,"CLB, HBG, PCLB",c1233ea7-dd70-5c29-960f-791a366042df
"Astarion, the Decadent",rare,,"B, W",Legendary Creature — Vampire Elf Rogue,"CLB, HBG, PCLB",6fb43831-6b0a-5218-9de2-d00db14a18d7
"Baba Lysaga, Night Witch",rare,,"B, G",Legendary Creature — Human Warlock,"CLB, HBG, PCLB",d65a0708-7309-508c-a088-98c86392b5ff
"Bane, Lord of Darkness",rare,,"B, U, W",Legendary Creature — God,"CLB, PCLB",facfdd97-3e6a-5491-8837-a6cf430838bb
"Bhaal, Lord of Murder",rare,,"B, G, R",Legendary Creature — God,"CLB, PCLB",7f531935-7985-580c-a932-6272e5baef73
"Cadira, Caller of the Small",uncommon,,"G, W",Legendary Creature — Orc Ranger,CLB,6b42c91e-effc-5a31-be3d-0b46cd489840
Commander Liara Portyr,uncommon,,"R, W",Legendary Creature — Human Soldier,CLB,938f21bc-21b9-5d11-ac38-fe71a513b311
The Council of Four,rare,,"U, W",Legendary Creature — Human Noble,"CLB, PCLB",01ad1b3d-4372-53e8-8e3e-5ec04e442b48
Duke Ulder Ravengard,rare,,"R, W",Legendary Creature — Human Noble Soldier,"CLB, PCLB",5b513a4d-1a3d-5fca-a496-20c186819c7c
"Dynaheir, Invoker Adept",rare,,"R, U, W",Legendary Creature — Human Wizard,"CLB, PCLB",02947ad3-ba99-524f-8bf0-072a1c2f7b0b
"Gluntch, the Bestower",rare,,"G, W",Legendary Creature — Jellyfish,"CLB, PCLB",e87d6797-99c2-5fbb-bbc4-8bbe9a9f456c
"Gorion, Wise Mentor",rare,,"G, U, W",Legendary Creature — Human Wizard,"CLB, HBG, PCLB",717adb2e-cd70-5719-92ce-0fc510fbb42b
"Jan Jansen, Chaos Crafter",rare,,"B, R, W",Legendary Creature — Gnome Artificer,"CLB, HBG, PCLB",9f61e784-3be7-5e33-bbad-9eee0d2e6622
"Jon Irenicus, Shattered One",rare,,"B, U",Legendary Creature — Elf Wizard,"CLB, PCLB",efe9e85b-ea47-54e3-90ea-62d1947ef775
"Kagha, Shadow Archdruid",uncommon,,"B, G",Legendary Creature — Elf Druid,"CLB, HBG",fabbb438-d392-5458-97f1-d118210601fa
"Korlessa, Scale Singer",uncommon,,"G, U",Legendary Creature — Dragon Bard,"CLB, HBG",63c311b5-e5ae-5974-8e0e-547f9ed39c39
"Lozhan, Dragons' Legacy",uncommon,,"R, U",Legendary Creature — Dragon Shaman,"CLB, HBG",a132296c-32ae-587f-8636-64cc3548bb5e
"Mahadi, Emporium Master",uncommon,,"B, R",Legendary Creature — Cat Devil,CLB,166538c6-5136-59f8-a24c-684e908f91ec
"Mazzy, Truesword Paladin",rare,,"G, R, W",Legendary Creature — Halfling Knight,"CLB, HBG, PCLB",c734994c-41aa-57ce-8d59-b014d47bae19
"Miirym, Sentinel Wyrm",rare,,"G, R, U",Legendary Creature — Dragon Spirit,"CLB, HBG, PCLB",325c59d6-e30e-5622-8776-45d2a821efe1
"Minthara, Merciless Soul",uncommon,,"B, W",Legendary Creature — Elf Cleric,CLB,bde4774c-6945-5483-b5a6-08350f250d51
"Myrkul, Lord of Bones",rare,,"B, G, W",Legendary Creature — God,"CLB, PCLB",6d5cf048-d915-5f14-8b26-2bb7caa4fffd
"Neera, Wild Mage",rare,,"R, U",Legendary Creature — Human Elf Shaman,"CLB, HBG, PCLB",573ee749-6d2d-5109-8e4e-e564b777656c
Nine-Fingers Keene,rare,,"B, G, U",Legendary Creature — Human Rogue,"CLB, PCLB",649b9a67-a844-597d-816e-4928c03a9053
"Oji, the Exquisite Blade",uncommon,,"U, W",Legendary Creature — Human Monk,"CLB, HBG",67c6cb58-8004-5cbb-a343-d69b56a83e2a
"Raggadragga, Goreguts Boss",rare,,"G, R",Legendary Creature — Human Boar,"CLB, HBG, PCLB",9dbfc52d-c4da-54e4-9578-949ece69a060
"Raphael, Fiendish Savior",rare,,"B, R",Legendary Creature — Devil Noble,"CLB, HBG, PCLB",564f739c-222b-57aa-be67-c6a984fa8ba5
"Rilsa Rael, Kingpin",uncommon,,"B, U",Legendary Creature — Human Rogue,CLB,e54aa6cb-c2ca-5371-b167-b49e60b51dc5
Thrakkus the Butcher,uncommon,,"G, R",Legendary Creature — Dragon Peasant,"CLB, HBG",28243440-30c8-512f-91fa-db25c7775b2c
"Zevlor, Elturel Exile",rare,,"B, R, U",Legendary Creature — Tiefling Warrior,"CLB, PCLB",1a23c5b1-233b-5875-9e39-77c94484e96c
"Zellix, Sanity Flayer",mythic,,U,Legendary Creature — Horror,CLB,1c8a73ce-dd4e-520c-8e63-72e47fad4d9d
"Burakos, Party Leader",mythic,,B,Legendary Creature — Orc,CLB,dc96dfbb-10e9-553d-8007-448c7eeeff7f
"Baeloth Barrityl, Entertainer",mythic,,R,Legendary Creature — Elf Shaman,CLB,754b99fd-8db6-5346-a1d5-78e013411fa9
Durnan of the Yawning Portal,mythic,,G,Legendary Creature — Human Warrior,CLB,c3c48205-222a-5355-b250-63d8ebf6c298
Captain N'ghathrod,mythic,,"B, U",Legendary Creature — Horror Pirate,CLB,be1a3f7b-4fa6-5dc8-ad1d-df07eb678786
"Faldorn, Dread Wolf Herald",mythic,,"G, R",Legendary Creature — Human Druid,CLB,46d0aa00-b0b0-5437-8258-324e956c56e6
"Firkraag, Cunning Instigator",mythic,,"R, U",Legendary Creature — Dragon,CLB,41340e62-61bd-5ee7-9d9d-14a307f2a27e
Nalia de'Arnise,mythic,,"B, W",Legendary Creature — Human Rogue,"CLB, HBG",7d9c82e6-7ae0-5320-9e29-f9e5c9530972
"Grazilaxx, Illithid Scholar",rare,,U,Legendary Creature — Horror,"AFR, CLB, PAFR, PRM",881c85fe-d947-5f5c-a26c-c16ff481cc2c
"Drakuseth, Maw of Flames",rare,,R,Legendary Creature — Dragon,"CLB, CMM, GN3, M20, PM20, SCD",496bdde3-98ba-5f7e-8d9f-6544e6d2f790
